iter	Passed	Remaining
0	9	962
1	17	877
2	25	835
3	33	806
4	41	787
5	49	771
6	57	762
7	66	763
8	74	752
9	82	741
10	91	736
11	99	726
12	107	720
13	115	709
14	125	709
15	134	705
16	143	701
17	151	692
18	160	684
19	169	678
20	178	670
21	186	661
22	195	653
23	203	644
24	210	632
25	220	628
26	228	617
27	237	609
28	245	602
29	253	591
30	261	582
31	270	574
32	278	565
33	286	556
34	295	548
35	303	539
36	311	529
37	319	520
38	327	512
39	336	504
40	344	495
41	352	486
42	360	477
43	368	468
44	376	460
45	385	452
46	393	443
47	402	435
48	411	428
49	421	421
50	433	416
51	443	409
52	452	400
53	461	393
54	469	384
55	478	376
56	486	367
57	494	358
58	503	349
59	511	341
60	519	332
61	531	325
62	540	317
63	548	308
64	556	299
65	564	290
66	572	282
67	581	273
68	589	264
69	598	256
70	607	248
71	616	239
72	624	230
73	632	222
74	641	213
75	650	205
76	658	196
77	666	187
78	674	179
79	683	170
80	691	162
81	699	153
82	706	144
83	715	136
84	723	127
85	733	119
86	742	110
87	751	102
88	762	94
89	771	85
90	778	77
91	788	68
92	796	59
93	804	51
94	812	42
95	820	34
96	829	25
97	837	17
98	846	8
99	854	0
